1953,Louison Bobet (Fra),Jesus Lorono (Esp),Fritz Schaer (Ch)
1952,Fausto Coppi (Ita),Fausto Coppi (Ita),
1951,Hugo Kloblet (Ch),Raphaël Geminiani (Fra),
1950,Ferdi Kübler (Ch),Louison Bobet (Fra),
1949,Fausto Coppi (Ita),Fausto Coppi (Ita),
1948,Gino Bartali (Ita),Gino Bartali (Ita),
1947,Jean Robic (Fra),Pierre Brambilla (Ita),
1939,Sylvère Maes (Bel),Sylvère Maes (Bel),
1938,Gino Bartali (Ita),Gino Bartali (Ita),
1937,Roger Lapebie (Fra),Félicien Vervaecke (Bel),
1936,Sylvère Maes (Bel),Julian Berrendero (Esp),
1935,Romain Maes (Bel),Félicien Vervaecke (Bel),
1934,Antonin Magne (Fra),René Vietto (Fra),
1933,Georges Speicher (Fra),Vicente Trueva (Esp),
1932,André Leducq (Fra),,
1931,Antonin Magne (Fra),,
1930,André Leducq (Fra),,
1929,Maurice Dewaele (Bel),,
1928,Nicolas Frantz (Lux),,
1927,Nicolas Frantz (Lux),,
1926,Lucien Buysse (Bel),,
1925,Ottavio Bottecchia (Ita),,
1924,Ottavio Bottecchia (Ita),,
1923,Henri Pelissier (Fra),,
1922,Firmin Lambot (Bel),,
1921,Léon Scieur (Bel),,
1920,Philippe Thys (Bel),,
1919,Firmin Lambot (Bel),,
1914,Philippe Thys (Bel),,
1913,Philippe Thys (Bel),,
1912,Odiel Degraye (Bel),,
1911,Gustave Garrigou (Fra),,
1910,Octave Lapize (Fra),,
1909,François Faber (Lux),,
1908,Lucien Petit-Breton (Fra),,
1907,Lucien Petit-Breton (Fra),,
1906,René Pottier (Fra),,
1905,Louis Trousselier (Fra),,
1904,Henri Cornet (Fra),,
1903,Maurice Garin (Fra),,
